feature,label,design_axis,placement,point_index,x,y,baseline,x_5pct,x_95pct,training_support_n,unique_values
aem__cation_to_aromatic_distance_mean,Cation-to-aromatic distance,cation exposure,Fig. S6,54,8,1.8706817,1.8687346,0.25,8,1884,189
aem__transport_heterogeneity,Transport heterogeneity,transport balance,Fig. S6,0,0,1.8646625,1.8687346,0,0.40135949,1951,377
aem__transport_heterogeneity,Transport heterogeneity,transport balance,Fig. S6,1,0.0074325832,1.8685514,1.8687346,0,0.40135949,1951,377
aem__transport_heterogeneity,Transport heterogeneity,transport balance,Fig. S6,2,0.014865166,1.8685077,1.8687346,0,0.40135949,1951,377
aem__transport_heterogeneity,Transport heterogeneity,transport balance,Fig. S6,3,0.022297749,1.8683143,1.8687346,0,0.40135949,1951,377
aem__transport_heterogeneity,Transport heterogeneity,transport balance,Fig. S6,4,0.029730333,1.8683143,1.8687346,0,0.40135949,1951,377
aem__transport_heterogeneity,Transport heterogeneity,transport balance,Fig. S6,5,0.037162916,1.8683143,1.8687346,0,0.40135949,1951,377
aem__transport_heterogeneity,Transport heterogeneity,transport balance,Fig. S6,6,0.044595499,1.8683143,1.8687346,0,0.40135949,1951,377
aem__transport_heterogeneity,Transport heterogeneity,transport balance,Fig. S6,7,0.052028082,1.8683143,1.8687346,0,0.40135949,1951,377
aem__transport_heterogeneity,Transport heterogeneity,transport balance,Fig. S6,8,0.059460665,1.8683143,1.8687346,0,0.40135949,1951,377
aem__transport_heterogeneity,Transport heterogeneity,transport balance,Fig. S6,9,0.066893248,1.8683143,1.8687346,0,0.40135949,1951,377
aem__transport_heterogeneity,Transport heterogeneity,transport balance,Fig. S6,10,0.074325832,1.8683143,1.8687346,0,0.40135949,1951,377
aem__transport_heterogeneity,Transport heterogeneity,transport balance,Fig. S6,11,0.081758415,1.8683143,1.8687346,0,0.40135949,1951,377
aem__transport_heterogeneity,Transport heterogeneity,transport balance,Fig. S6,12,0.089190998,1.8683143,1.8687346,0,0.40135949,1951,377
